6000,1.8997,0.3,0.4266,0.31995,0.8532,1.8997,1.1732,0.7266,27.049,27.049,27.049,27.049,27.049,27.049,27.049,27.049,18.997,3,4.266,3.1995,8.532,18.997,11.732,7.266,513.86,81.147,115.39,86.543,230.78,513.86,317.32,196.54,51.386,8.1147,11.539,8.6543,23.078,51.386,31.732,19.654,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6600,1.8997,0.3,0.4266,0.31995,0.8532,1.8997,1.1732,0.7266,27.049,27.049,27.049,27.049,27.049,27.049,27.049,27.049,18.997,3,4.266,3.1995,8.532,18.997,11.732,7.266,513.86,81.147,115.39,86.543,230.78,513.86,317.32,196.54,51.386,8.1147,11.539,8.6543,23.078,51.386,31.732,19.654,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7200,1.9042,0.3,0.5024,0.3768,0.725,1.9042,1.1018,0.8024,37.391,37.39,37.39,37.39,37.39,37.39,37.39,37.39,19.042,3,5.024,3.768,7.25,19.042,11.018,8.024,711.99,112.17,187.85,140.89,271.08,711.99,411.97,300.02,71.199,11.217,18.785,14.089,27.108,71.199,41.197,30.002,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7800,1.9042,0.3,0.5024,0.3768,0.725,1.9042,1.1018,0.8024,37.391,37.39,37.39,37.39,37.39,37.39,37.39,37.39,19.042,3,5.024,3.768,7.25,19.042,11.018,8.024,711.99,112.17,187.85,140.89,271.08,711.99,411.97,300.02,71.199,11.217,18.785,14.089,27.108,71.199,41.197,30.002,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8400,1.9042,0.3,0.5024,0.3768,0.725,1.9042,1.1018,0.8024,37.391,37.39,37.39,37.39,37.39,37.39,37.39,37.39,19.042,3,5.024,3.768,7.25,19.042,11.018,8.024,711.99,112.17,187.85,140.89,271.08,711.99,411.97,300.02,71.199,11.217,18.785,14.089,27.108,71.199,41.197,30.002,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9000,1.9042,0.3,0.5024,0.3768,0.725,1.9042,1.1018,0.8024,37.391,37.39,37.39,37.39,37.39,37.39,37.39,37.39,19.042,3,5.024,3.768,7.25,19.042,11.018,8.024,711.99,112.17,187.85,140.89,271.08,711.99,411.97,300.02,71.199,11.217,18.785,14.089,27.108,71.199,41.197,30.002,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9600,1.9042,0.3,0.5024,0.3768,0.725,1.9042,1.1018,0.8024,37.391,37.39,37.39,37.39,37.39,37.39,37.39,37.39,19.042,3,5.024,3.768,7.25,19.042,11.018,8.024,711.99,112.17,187.85,140.89,271.08,711.99,411.97,300.02,71.199,11.217,18.785,14.089,27.108,71.199,41.197,30.002,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10200,1.9042,0.3,0.5024,0.3768,0.725,1.9042,1.1018,0.8024,37.391,37.39,37.39,37.39,37.39,37.39,37.39,37.39,19.042,3,5.024,3.768,7.25,19.042,11.018,8.024,711.99,112.17,187.85,140.89,271.08,711.99,411.97,300.02,71.199,11.217,18.785,14.089,27.108,71.199,41.197,30.002,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10800,2.0215,0.3,0.6212,0.4659,0.6344,2.0215,1.1003,0.9212,40.996,40.996,40.996,40.996,40.996,40.996,40.996,40.996,20.215,3,6.212,4.659,6.344,20.215,11.003,9.212,828.74,122.99,254.67,191,260.08,828.73,451.08,377.65,82.874,12.299,25.467,19.1,26.008,82.873,45.108,37.765,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11400,2.0215,0.3,0.6212,0.4659,0.6344,2.0215,1.1003,0.9212,40.996,40.996,40.996,40.996,40.996,40.996,40.996,40.996,20.215,3,6.212,4.659,6.344,20.215,11.003,9.212,828.74,122.99,254.67,191,260.08,828.73,451.08,377.65,82.874,12.299,25.467,19.1,26.008,82.873,45.108,37.765,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
